Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,3.281,180.96,2171.52,0,0,2171.52
58.209,3.24819,179.167,2150.004,19.8,0.921,2130.204
116.419,3.21538,177.375,2128.5,39.2,1.842,2089.3
174.628,3.18257,175.582,2106.984,58.2,2.762,2048.784
232.837,3.14976,173.79,2085.48,76.799,3.683,2008.681
291.047,3.11695,171.997,2063.964,95,4.603,1968.964
349.256,3.08414,170.204,2042.448,112.799,5.523,1929.649
407.465,3.05133,168.412,2020.944,130.199,6.442,1890.745
465.675,3.01852,166.619,1999.428,147.199,7.362,1852.229
523.884,2.98571,164.827,1977.924,163.799,8.281,1814.125
582.093,2.9529,163.034,1956.408,179.999,9.2,1776.409
640.303,2.92009,161.241,1934.892,195.799,10.119,1739.093
698.512,2.88728,159.449,1913.388,211.199,11.038,1702.189
756.721,2.85447,157.656,1891.872,226.199,11.956,1665.673
814.931,2.82166,155.864,1870.368,240.799,12.874,1629.569
873.14,2.78885,154.071,1848.852,254.999,13.792,1593.853
931.349,2.75604,152.278,1827.336,268.798,14.71,1558.538
989.559,2.72323,150.486,1805.832,282.198,15.627,1523.634
1047.768,2.69042,148.693,1784.316,295.198,16.544,1489.118
1105.977,2.65761,146.901,1762.812,307.798,17.461,1455.014
1164.187,2.6248,145.108,1741.296,319.998,18.377,1421.298
1222.396,2.59199,143.315,1719.78,331.798,19.293,1387.982
1280.605,2.55918,141.523,1698.276,343.198,20.209,1355.078
1338.815,2.52637,139.73,1676.76,354.198,21.124,1322.562
1397.024,2.49356,137.938,1655.256,364.798,22.039,1290.458
1455.233,2.46075,136.145,1633.74,374.998,22.953,1258.742
1513.443,2.42794,134.352,1612.224,384.798,23.868,1227.426
1571.652,2.39513,132.56,1590.72,394.198,24.781,1196.522
1629.861,2.36232,130.767,1569.204,403.198,25.694,1166.006
1688.071,2.32951,128.975,1547.7,411.798,26.607,1135.902
1746.28,2.2967,127.182,1526.184,419.998,27.519,1106.186
1804.489,2.26389,125.389,1504.668,427.797,28.431,1076.871
1862.699,2.23108,123.597,1483.164,435.198,29.343,1047.966
1920.908,2.19827,121.804,1461.648,442.197,30.253,1019.451
1979.117,2.16546,120.012,1440.144,448.797,31.163,991.347
2037.327,2.13265,118.219,1418.628,454.997,32.073,963.631
2095.536,2.09984,116.426,1397.112,460.797,32.982,936.315
2153.745,2.06703,114.634,1375.608,466.197,33.89,909.411
2211.955,2.03422,112.841,1354.092,471.197,34.798,882.895
2270.164,2.00141,111.049,1332.588,475.797,35.705,856.791
2328.373,1.9686,109.256,1311.072,479.997,36.611,831.075
2386.583,1.93579,107.463,1289.556,483.797,37.517,805.759
2444.792,1.90298,105.671,1268.052,487.197,38.421,780.855
2503.001,1.87017,103.878,1246.536,490.197,39.325,756.339
2561.211,1.83736,102.086,1225.032,492.797,40.227,732.235
2619.42,1.80455,100.293,1203.516,494.997,41.129,708.519
2677.629,1.77174,98.5,1182,496.797,42.03,685.203
2735.839,1.73893,96.708,1160.496,498.197,42.93,662.299
2794.048,1.70612,94.915,1138.98,499.197,43.828,639.783
2852.257,1.67331,93.123,1117.476,499.797,44.726,617.679
2910.467,1.6405,91.33,1095.96,499.997,45.622,595.963
2968.676,1.60769,89.537,1074.444,499.797,46.517,574.647
3026.885,1.57488,87.745,1052.94,499.197,47.41,553.743
3085.094,1.54207,85.952,1031.424,498.197,48.302,533.227
3143.304,1.50926,84.16,1009.92,496.797,49.192,513.123
3201.513,1.47645,82.367,988.404,494.997,50.08,493.407
3259.722,1.44364,80.574,966.888,492.797,50.967,474.091
3317.932,1.41083,78.782,945.384,490.197,51.852,455.187
3376.141,1.37802,76.989,923.868,487.197,52.734,436.671
3434.35,1.34521,75.197,902.364,483.797,53.614,418.567
3492.56,1.3124,73.404,880.848,479.997,54.493,400.851
3550.769,1.27959,71.611,859.332,475.797,55.368,383.535
3608.978,1.24678,69.819,837.828,471.197,56.24,366.631
3667.188,1.21397,68.026,816.312,466.197,57.11,350.115
3725.397,1.18116,66.234,794.808,460.797,57.976,334.011
3783.606,1.14835,64.441,773.292,454.997,58.839,318.295
3841.816,1.11554,62.648,751.776,448.797,59.698,302.979
3900.025,1.08273,60.856,730.272,442.197,60.552,288.075
3958.234,1.04992,59.063,708.756,435.197,61.403,273.559
4016.444,1.01711,57.271,687.252,427.798,62.248,259.454
4074.653,0.9843,55.478,665.736,419.998,63.088,245.738
4132.862,0.95149,53.685,644.22,411.798,63.922,232.422
4191.072,0.91868,51.893,622.716,403.198,64.748,219.518
4249.281,0.88587,50.1,601.2,394.198,65.569,207.002
4307.49,0.85306,48.308,579.696,384.798,66.379,194.898
4365.7,0.82025,46.515,558.18,374.998,67.182,183.182
4423.909,0.78744,44.722,536.664,364.798,67.975,171.866
4482.118,0.75463,42.93,515.16,354.198,68.755,160.962
4540.328,0.72182,41.137,493.644,343.198,69.523,150.446
4598.537,0.68901,39.345,472.14,331.798,70.275,140.342
4656.746,0.6562,37.552,450.624,319.998,71.012,130.626
4714.956,0.62339,35.759,429.108,307.798,71.73,121.31
4773.165,0.59058,33.967,407.604,295.198,72.423,112.406
4831.374,0.55777,32.174,386.088,282.198,73.092,103.89
4889.584,0.52496,30.382,364.584,268.798,73.727,95.786
4947.793,0.49215,28.589,343.068,254.999,74.329,88.069
5006.002,0.45934,26.796,321.552,240.799,74.886,80.753
5064.212,0.42653,25.004,300.048,226.199,75.388,73.849
5122.421,0.39372,23.211,278.532,211.199,75.826,67.333
5180.63,0.36091,21.419,257.028,195.799,76.178,61.229
5238.84,0.3281,19.626,235.512,179.999,76.429,55.513
5297.049,0.29529,17.833,213.996,163.799,76.543,50.197
5355.258,0.26248,16.041,192.492,147.199,76.47,45.293
5413.468,0.22967,14.248,170.976,130.199,76.15,40.777
5471.677,0.19686,12.456,149.472,112.799,75.465,36.673
5529.886,0.16405,10.663,127.956,94.999,74.243,32.957
5588.096,0.13124,8.87,106.44,76.8,72.153,29.64
5646.305,0.09843,7.078,84.936,58.2,68.522,26.736
5704.514,0.06562,5.285,63.42,39.2,61.81,24.22
5762.724,0.03281,3.493,41.916,19.8,47.237,22.116
5820.933,0,1.7,20.4,0,0,20.4
